Exercise,Pectoralis Major — Clavicular,Pectoralis Major — Sternocostal,Pectoralis Minor,Anterior Deltoid,Lateral Deltoid,Posterior Deltoid,Latissimus Dorsi,Teres Major,Upper Trapezius,Middle Trapezius,Lower Trapezius,Rhomboids,Serratus Anterior,Lumbar Erector Spinae,Biceps Brachii,Brachialis,Brachioradialis,Triceps Brachii — Long Head,Triceps Brachii — Lateral Head,Triceps Brachii — Medial Head,Wrist Flexors,Wrist Extensors,Finger Flexors / Grip,Rectus Abdominis,Obliques,Iliopsoas,Gluteus Maximus,Gluteus Medius + Minimus,Adductor Magnus,Other Hip Adductors,Rectus Femoris,Vastus Lateralis,Vastus Medialis,Vastus Intermedius,Biceps Femoris — Long Head,Biceps Femoris — Short Head,Semitendinosus,Semimembranosus,Gastrocnemius,Soleus
Row (Machine) (Chest Supported) (Wide Grip),0,0,0,0,0,1,0,0,0,1,0.25,1,0,0,0.25,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Machine) (Close Grip),0,0,0,0,0,0.5,1,0.75,0,0.75,0.25,0.75,0,0,0.5,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (Machine) (Close Grip) (Unilateral),0,0,0,0,0,0.5,1,0.75,0,0.75,0.25,0.75,0,0,0.5,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (T-Bar) (Chest Supported) (Close-Grip),0,0,0,0,0,0.5,1,0.75,0,0.75,0.25,0.75,0,0,0.5,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (T-Bar) (Chest Supported) (Wide-Grip),0,0,0,0,0,1,0,0,0,1,0.25,1,0,0,0.25,0.5,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Row (T-Bar) (Meadows),0,0,0,0,0,0.75,0.75,0.5,0,0.75,0.25,0.75,0,0.5,0.25,0.5,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skull Crushers (EZ Bar) (Lying),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Split Squats (Dumbbells),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,1,0.5,0.5,0,0.25,0.75,0.75,0.75,0,0,0,0,0,0
Static Holds (Cable),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Static Holds (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Static Holds (Dumbbell),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrist Curls (Cable),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wrist Curls (Cable) (Unilateral),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y-Raise (Cable) (Lying),0,0,0,0.5,0.5,0,0,0,0.5,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y-Raise (Cable) (Standing),0,0,0,0.5,0.5,0,0,0,0.5,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
